id,exchange,symbol,date,price,amount,sell,fisher_transform,fft
183794477,bf,btceur,1517542370000,7276.9,0.6,False,0.00013742115547754844,(1196.6212031610146-992.0379307887157j)
183794479,bf,btceur,1517542370000,7278.0,0.23988038,False,0.00013740038558577328,(1154.1064907266516+1577.88126876747j)
183794608,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(635.0847280443194+501.18231218938274j)
183794616,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(1323.0148521406918-935.5873459333615j)
183794610,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(564.051610982605+1315.1730692423498j)
183794598,bf,btceur,1517542382000,7267.9167959999995,0.00331642,True,0.0001375910091403985,(783.5180246575356+36.57934848120391j)
183794606,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(360.7322249211401-119.48533478151026j)
183794600,bf,btceur,1517542382000,7265.507807999999,0.43,True,0.0001376366295021292,(-70.11187694622102-330.0399323592459j)
183794614,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(879.9669175584737+542.2903102155443j)
183794618,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(-573.1188271440083-1749.1217358677357j)
183794612,bf,btceur,1517542382000,7265.507807999999,0.5,True,0.0001376366295021292,(486.7696013366438+15.224885377448139j)
183794602,bf,btceur,1517542382000,7265.507807999999,0.6,True,0.0001376366295021292,(1002.6702164936827+947.5572790109413j)
183794604,bf,btceur,1517542382000,7265.507807999999,0.22,True,0.0001376366295021292,(212.7663341802798-116.91308601809052j)
183794620,bf,btceur,1517542382000,7265.507807999999,0.43387283,True,0.0001376366295021292,(346.775852713377-153.22034627926834j)
183794627,bf,btceur,1517542382000,7265.0,0.2,True,0.0001376462500090095,(-870.7016036357874-953.8602082407431j)
183794751,bf,btceur,1517542387000,7272.1,0.24221928,True,0.00013751186126470115,(35.94739632135597-636.9885643092304j)
183794749,bf,btceur,1517542387000,7272.1,0.24638083,True,0.00013751186126470115,(612.8757101887592-1493.7517982202955j)
183794758,bf,btceur,1517542388000,7272.1,0.05444599,True,0.00013751186126470115,(-144.5168956337579-63.559190124350536j)
183795019,bf,btceur,1517542416000,7297.5,0.06583295,False,0.00013703323141614596,(-2350.8368751995313-170.47266406734968j)
183795058,bf,btceur,1517542419000,7302.9,0.05732647,False,0.00013693190462010237,(-1165.9807324652645-295.53437964925445j)
183795060,bf,btceur,1517542419000,7302.9,0.5507,False,0.00013693190462010237,(1035.8417269982435-420.36223249642967j)
183795064,bf,btceur,1517542419000,7302.9,0.33697353,False,0.00013693190462010237,(-210.6510706274772-4.025006089260235j)
183795062,bf,btceur,1517542419000,7302.9,0.055,False,0.00013693190462010237,(-1159.4339730968918+198.56239653534269j)
183795088,bf,btceur,1517542420000,7301.3,0.055,False,0.0001369619117489717,(460.2925213477445-949.1571310012671j)
183795086,bf,btceur,1517542420000,7301.3,0.13973,False,0.0001369619117489717,(1506.6909353803944-655.8619745452343j)
183795101,bf,btceur,1517542421000,7300.0,0.0624,False,0.00013698630222673162,(-459.3742633623697-983.8127761257564j)
183795095,bf,btceur,1517542421000,7300.7,0.2753,False,0.00013697316781317682,(1118.2883471217465-954.7167122150803j)
183795848,bf,btceur,1517542464000,7295.3,0.59281685,True,0.0001370745557088752,(-156.69810531028278-795.0763410174529j)
183795871,bf,btceur,1517542465000,7306.1,0.2752,False,0.00013687192979083463,(-112.3595491603573-19.02905504453931j)
183796136,bf,btceur,1517542482000,7301.722927600001,0.008,True,0.00013695397869345193,(1547.3642518362283-561.5571876848938j)
183796412,bf,btceur,1517542515000,7305.0,0.05470024,False,0.00013689254021173936,(749.5913809237993-65.35426241908567j)
183797439,bf,btceur,1517542599000,7296.0,0.1,True,0.00013706140436704943,(402.9502063252468-701.9037646147382j)
183797447,bf,btceur,1517542599000,7291.3,0.2752,True,0.00013714975467610696,(-249.4246125275289+216.14958953837396j)
183797580,bf,btceur,1517542608000,7287.2,0.1,True,0.00013722691929367726,(1187.6166722528874-235.14271359385864j)
183797773,bf,btceur,1517542625000,7291.0,0.59854069,False,0.0001371553979248856,(-378.40870664521316-1053.6089988010053j)
183797785,bf,btceur,1517542626000,7282.0,0.11908183,False,0.00013732491160209308,(70.53050889242878-226.3343592493739j)
183797784,bf,btceur,1517542626000,7283.173720000001,0.06985251,True,0.000137302781003001,(-903.5397723371219-34.00490070683658j)
183797782,bf,btceur,1517542626000,7289.035590800001,0.02,True,0.00013719236157063228,(25.78600812740745-927.308453959817j)
183798503,bf,btceur,1517542707000,7306.0,0.06272,False,0.0001368738032089346,(-1185.8324308608112-576.3036740508587j)
183798696,bf,btceur,1517542733000,7304.0,0.2198,False,0.0001369112823449978,(-112.14020282143007-1531.4768453940821j)
183798692,bf,btceur,1517542733000,7304.0,0.0549,False,0.0001369112823449978,(99.59390417901905-1918.7094360527053j)
183798713,bf,btceur,1517542735000,7303.24862,0.08629351,True,0.00013692536818632416,(-1392.6091971971982+492.51936788081747j)
183798711,bf,btceur,1517542735000,7303.489518800001,0.00088938,True,0.00013692085183053616,(-612.7824921646895-1310.296462437889j)
183798981,bf,btceur,1517542769000,7302.0,0.2,False,0.00013694878201197478,(-446.79280886733943-505.04926169625276j)
183799376,bf,btceur,1517542804000,7279.158740000001,0.27830746,True,0.00013737851337072463,(1028.9331968889055-2156.362467012415j)
183799875,bf,btceur,1517542857000,7302.0,0.28576104,False,0.00013694878201197478,(1122.1000837576144-3.8570638362997216j)
183800120,bf,btceur,1517542870000,7305.0,0.3,False,0.00013689254021173936,(826.1481040613521-1221.0521048457638j)
183800339,bf,btceur,1517542907000,7281.0,0.2,True,0.00013734377232354992,(-1916.534537751141-179.2547551898398j)
183800341,bf,btceur,1517542907000,7280.9,0.04374246,True,0.00013734565868063906,(1655.2256747811093-1491.1805468259724j)
183800362,bf,btceur,1517542910000,7274.5,0.59854069,True,0.00013746649340832607,(-965.357099622881+34.56338909186082j)
183800360,bf,btceur,1517542910000,7276.0,0.2,True,0.00013743815369654877,(921.7918257457965+644.2353673775006j)
183800358,bf,btceur,1517542910000,7276.8,0.1,True,0.00013742304396094837,(458.2567176700587-373.51812407437023j)
183800399,bf,btceur,1517542913000,7273.3,0.09699506,True,0.00013748917359394147,(543.5115957378567+532.930816996057j)
183800418,bf,btceur,1517542914000,7272.0,0.011059999999999999,True,0.0001375137522419656,(-1431.3959148645406-81.5334536658646j)
183800605,bf,btceur,1517542944000,7291.2,0.022000000000000002,False,0.00013715163570742904,(197.03709555804977-1014.5136252014656j)
183800660,bf,btceur,1517542949000,7296.7,0.6,False,0.00013704825554850002,(808.6134860968349-1404.582059918517j)
183800743,bf,btceur,1517542958000,7276.1,0.51548967,True,0.00013743626479798563,(79.54488519951799-243.88280057694038j)
183800781,bf,btceur,1517542966000,7279.3,0.08451033,True,0.00013737584744285256,(1373.4099493059523-318.5340715309415j)
183800840,bf,btceur,1517542975000,7272.0,0.17720999999999998,True,0.0001375137522419656,(-897.2700819044712+19.462139589059213j)
183800877,bf,btceur,1517542979000,7295.9,0.27143312,False,0.0001370632829756403,(-821.2149682595212-2388.7722324047368j)
183800875,bf,btceur,1517542979000,7291.0,0.2,False,0.0001371553979248856,(224.78627208762666+1552.1882044083482j)
183800895,bf,btceur,1517542981000,7278.3557439999995,0.044164999999999996,False,0.00013739366987062455,(157.2094740083982+288.6899802557242j)
183801070,bf,btceur,1517543012000,7269.0,0.00113599,False,0.00013757050575166722,(155.49902120045508-269.11077622663646j)
183801097,bf,btceur,1517543015000,7268.0,0.01004846,False,0.00013758943399979042,(354.9746810711873-1136.1229629222664j)
183801246,bf,btceur,1517543030000,7264.0,0.00782829,True,0.0001376651991075042,(252.54638871354013+239.68166014091454j)
183801270,bf,btceur,1517543031000,7264.0,0.08407781,True,0.0001376651991075042,(1126.3858139468787-963.2605288876161j)
183801259,bf,btceur,1517543031000,7264.0,0.04783975,True,0.0001376651991075042,(-406.65752171977226+459.43631369807656j)
183801272,bf,btceur,1517543031000,7264.0,0.06025415,True,0.0001376651991075042,(628.2058194039399+412.08299646172946j)
183801588,bf,btceur,1517543060000,7259.3247388,0.58647889,True,0.00013775386035295382,(-1008.6791118190962+107.99866363233772j)
183801609,bf,btceur,1517543062000,7254.0,0.2,True,0.00013785497743787134,(-919.1228267060901-719.2290755537502j)
183801611,bf,btceur,1517543062000,7252.579572399999,0.3404793,True,0.0001378819765235438,(307.0790925701987-809.9080051199841j)
183801725,bf,btceur,1517543075000,7245.192009199999,0.05091744,True,0.00013802256794307616,(765.530954488712+333.2557522717298j)
183801741,bf,btceur,1517543076000,7244.0,0.03428256,True,0.00013804527972831993,(-6.3383336710516485-631.3536596539017j)
183801731,bf,btceur,1517543076000,7244.0,0.06571744,True,0.00013804527972831993,(338.36709213446835+333.1921984543269j)
183801736,bf,btceur,1517543076000,7244.0,0.1,True,0.00013804527972831993,(728.1353131211631+910.5611403047415j)
183801767,bf,btceur,1517543079000,7239.9,0.1,True,0.0001381234556221978,(-788.3084824808981+1640.7671696038844j)
183801781,bf,btceur,1517543079000,7240.0,0.12731229,True,0.00013812154783966456,(-938.2067699904807+412.7736096442156j)
183801850,bf,btceur,1517543087000,7239.8922356,0.33170381,True,0.00013812360375230266,(-2088.8792346534783+514.7467982413701j)
183801840,bf,btceur,1517543087000,7242.4618228,0.159,True,0.00013807459822660125,(-443.67616018903317+133.96853483890277j)
183801848,bf,btceur,1517543087000,7242.3815232,0.01,True,0.0001380761291229673,(39.20809382485452-300.01545806974207j)
183801842,bf,btceur,1517543087000,7242.3815232,0.11,True,0.0001380761291229673,(986.5576547405655+40.16832594518053j)
